event,tiempo
portflap_start,9:47:53 PM
portflap_end,9:48:53 PM
portflap_start,9:50:08 PM
portflap_end,9:51:01 PM
portflap_start,9:51:50 PM
portflap_end,9:52:45 PM
portflap_start,9:53:49 PM
portflap_end,9:54:46 PM
portflap_start,9:55:59 PM
portflap_end,9:56:54 PM
portflap_start,9:57:39 PM
portflap_end,9:58:55 PM
portflap_start,10:17:13 PM
portflap_end,10:17:42 PM
portflap_start,10:18:52 PM
portflap_end,10:19:44 PM
portflap_start,10:20:56 PM
portflap_end,10:21:53 PM
portflap_start,10:23:04 PM
portflap_end,10:23:39 PM
portflap_start,10:24:44 PM
portflap_end,10:25:40 PM
portflap_start,10:26:53 PM
portflap_end,10:27:41 PM
portflap_start,10:48:03 PM
portflap_end,10:48:57 PM
portflap_start,10:50:05 PM
portflap_end,10:50:39 PM
portflap_start,10:51:53 PM
portflap_end,10:52:39 PM
portflap_start,10:53:49 PM
portflap_end,10:54:37 PM
portflap_start,10:55:48 PM
portflap_end,10:56:44 PM
portflap_start,10:57:51 PM
portflap_end,10:58:43 PM
